t,V,sum,sea_level,sea_level_cumulative
2124.5,204027473.67433876,15858294468.857407,0.0005169571380503681,0.04018114999583805
2124.75,207424753.85778192,16065719222.715189,0.000525565038786282,0.040706715034624336
2125.0,210859579.24854752,16276578801.963736,0.0005342680701562001,0.04124098310478053
2125.25,214332544.7210872,16490911346.684822,0.0005430677394306311,0.04178405084421116
2125.5,217844259.76314968,16708755606.447971,0.0005519655909067061,0.04233601643511787
2125.75,221395348.9257834,16930150955.373755,0.0005609632070483782,0.042896979642166246
2126.0,224986452.29025054,17155137407.664005,0.0005700622096694721,0.04346704185183572
2126.25,228618225.95238498,17383755633.61639,0.0005792642611609319,0.04404630611299665
2126.5,232291342.5253887,17616046976.141777,0.0005885710657647875,0.04463487717876143
2126.75,236006491.66175207,17852053467.803528,0.0005979843708965771,0.04523286154965801
2127.0,239764380.59529224,18091817848.39882,0.0006075059685187429,0.04584036751817676
2127.25,243565734.70406023,18335383583.10288,0.0006171376965669045,0.04645750521474366
2127.5,247411298.0953231,18582794881.1982,0.000626881440432065,0.047084386655175725
2127.75,251301834.21336573,18834096715.411568,0.0006367391345006353,0.04772112578967636
2128.0,255238126.47146448,19089334841.883034,0.000646712763755706,0.04836783855343207
2128.25,259220978.90892327,19348555820.791958,0.0006568043654418203,0.04902464291887389
2128.5,263251216.87457085,19611807037.666527,0.0006670160307967945,0.04969165894967068
2128.75,267329687.7378347,19879136725.40436,0.0006773499068534084,0.05036900885652409
2129.0,271457261.6287973,20150593987.033157,0.0006878081983145344,0.051056817054838624
2129.25,275634832.2086439,20426228819.241802,0.0006983931695052675,0.051755210224343894
2129.5,279863317.47197473,20706092136.713776,0.000709107146405794,0.052464317370749684
2129.75,284143660.58251524,20990235797.29629,0.0007199525187688836,0.05318426988951857
2130.0,288476830.74402297,21278712628.040314,0.0007309317423265588,0.05391520163184513
2130.25,292863824.1079606,21571576452.148273,0.0007420473410899247,0.05465724897293505
2130.5,297305664.71995395,21868882116.86823,0.0007533019097472672,0.05541055088268232
2130.75,301803405.5069232,22170685522.375153,0.0007646981161652094,0.05617524899884753
2131.0,306358129.3070624,22477043651.682217,0.0007762387039984351,0.056951487702845964
2131.25,310970949.9447388,22788014601.626957,0.0007879264954132283,0.05773941419825919
2131.5,315643013.35282195,23103657614.97978,0.0007997643939311879,0.05853917859219038
2131.75,320375498.7448375,23424033113.724617,0.0008117553873991881,0.059350933979589564
2132.0,325169619.83961797,23749202733.564236,0.0008239025510923505,0.06017483653068192
2132.25,330026626.14124894,24079229359.705486,0.0008362090509571261,0.06101104558163904
2132.5,334947804.27727646,24414177163.98276,0.0008486781470019928,0.061859723728641035
2132.75,339934479.39846134,24754111643.38122,0.0008613131968441011,0.06272103692548514
2133.0,344988016.6432521,25099099660.024475,0.0008741176594199003,0.06359515458490504
2133.25,344612270.8516416,25443711930.876118,0.0008731656088672603,0.0644683201937723
2133.5,343944207.1287116,25787656138.00483,0.000871472894136143,0.06533979308790844
2133.75,343272848.7092913,26130928986.71412,0.0008697718314269929,0.06620956491933543
